T, P, Rho, Mu, Cp, K, h, s
536.8421052631579, 5.842105263157895, 778.9270041345993, 0.00010049078691489865, 5013.07602720516, 0.6025116121382358, 20772505.450029895, 52532.99041709374
536.8421052631579, 5.921052631578947, 779.0329447599855, 0.00010051502895835687, 5011.6578197736, 0.6026078006433608, 20772196.608830255, 52529.014135475954
536.8421052631579, 6.0, 779.138765471659, 0.00010053925091304604, 5010.243186692942, 0.602703931753364, 20771889.771841563, 52525.042049399264
547.3684210526316, 4.5, 21.187515272656896, 1.857213691879637e-05, 3475.480126663316, 0.05230259302895862, 51553143.81827592, 110576.6490213305
547.3684210526316, 4.578947368421052, 21.650663387130127, 1.8560917046372245e-05, 3528.3109611204713, 0.05259699660953444, 51484161.083224304, 110329.30560521751
547.3684210526316, 4.657894736842105, 22.11881046830267, 1.8549733407210117e-05, 3583.169685979353, 0.052897062609557656, 51414253.4610952, 110082.85386619736
547.3684210526316, 4.7368421052631575, 22.592123015742292, 1.853858647500773e-05, 3640.179603900979, 0.053203067200707325, 51343388.11604973, 109837.15267735311
547.3684210526316, 4.815789473684211, 23.07077662632715, 1.852747675648727e-05, 3699.4731825712383, 0.053515308011794833, 51271530.43218951, 109592.06186162935
547.3684210526316, 4.894736842105263, 23.554956676150848, 1.8516404794646452e-05, 3761.1934202605644, 0.053834106417624185, 51198643.88770373, 109347.44169742742
547.3684210526316, 4.973684210526316, 24.044859084898327, 1.850537117200644e-05, 3825.4956168473677, 0.05415981021039518, 51124689.900954776, 109103.1523947388
547.3684210526316, 5.052631578947368, 24.540691181137255, 1.849437651371345e-05, 3892.549667103679, 0.05449279675421739, 51049627.63983443, 108859.05352406838
547.3684210526316, 5.131578947368421, 25.042672692018776, 1.848342149030425e-05, 3962.54302119518, 0.05483347675427531, 50973413.78352005, 108615.00337662436
547.3684210526316, 5.2105263157894735, 25.551036887249847, 1.8472506819890904e-05, 4035.6844912634865, 0.05518229881252917, 50896002.223095916, 108370.85822961734
547.3684210526316, 5.2894736842105265, 26.066031915205176, 1.846163326945481e-05, 4112.209123671764, 0.05553975499425891, 50817343.68429928, 108126.47148486853
547.3684210526316, 5.368421052631579, 26.58792237908642, 1.845080165486466e-05, 4192.384405213621, 0.05590638769774528, 50737385.251804024, 107881.69264210494
547.3684210526316, 5.447368421052632, 27.11699121359584, 1.844001283914608e-05, 4276.518129720847, 0.05628279820742742, 50656069.769859664, 107636.36606012365
547.3684210526316, 5.526315789473684, 27.65354193827584, 1.8429267728432722e-05, 4364.96832070789, 0.05666965742481006, 50573335.08862722, 107390.32944919591
